date,count
26 Oct 1916,25
27 Oct 1916,21
28 Oct 1916,7
29 Oct 1916,17
30 Oct 1916,16
31 Oct 1916,38
01 Nov 1916,40
02 Nov 1916,134
03 Nov 1916,13
04 Nov 1916,334
05 Nov 1916,69
06 Nov 1916,41
07 Nov 1916,49
08 Nov 1916,39
09 Nov 1916,34
10 Nov 1916,34
11 Nov 1916,56
12 Nov 1916,27
13 Nov 1916,316
14 Nov 1916,78
15 Nov 1916,43
16 Nov 1916,30
17 Nov 1916,24
18 Nov 1916,30
19 Nov 1916,31
20 Nov 1916,34
21 Nov 1916,34
22 Nov 1916,40
23 Nov 1916,36
24 Nov 1916,20
25 Nov 1916,25
26 Nov 1916,53
27 Nov 1916,31
28 Nov 1916,13
29 Nov 1916,18
30 Nov 1916,25
01 Dec 1916,36
02 Dec 1916,24
03 Dec 1916,26
04 Dec 1916,28
05 Dec 1916,21
06 Dec 1916,27
07 Dec 1916,28
08 Dec 1916,29
09 Dec 1916,21
10 Dec 1916,26
11 Dec 1916,33
12 Dec 1916,20
13 Dec 1916,27
14 Dec 1916,13
15 Dec 1916,22
16 Dec 1916,6
17 Dec 1916,14
18 Dec 1916,19
19 Dec 1916,21
20 Dec 1916,30
21 Dec 1916,26
22 Dec 1916,40
23 Dec 1916,45
24 Dec 1916,23
25 Dec 1916,13
26 Dec 1916,16
27 Dec 1916,32
28 Dec 1916,22
29 Dec 1916,26
30 Dec 1916,30
31 Dec 1916,29
01 Jan 1917,29
02 Jan 1917,33
03 Jan 1917,20
04 Jan 1917,19
05 Jan 1917,17
06 Jan 1917,19
07 Jan 1917,36
08 Jan 1917,57
09 Jan 1917,31
10 Jan 1917,25
11 Jan 1917,22
12 Jan 1917,18
13 Jan 1917,22
14 Jan 1917,10
15 Jan 1917,24
16 Jan 1917,15
17 Jan 1917,12
18 Jan 1917,15
19 Jan 1917,24
20 Jan 1917,24
21 Jan 1917,23
22 Jan 1917,16
23 Jan 1917,12
24 Jan 1917,18
25 Jan 1917,16
26 Jan 1917,27
27 Jan 1917,49
28 Jan 1917,22
29 Jan 1917,20
30 Jan 1917,30
31 Jan 1917,77
01 Feb 1917,28
02 Feb 1917,25
03 Feb 1917,84
04 Feb 1917,55
05 Feb 1917,38
06 Feb 1917,41
07 Feb 1917,24
